,1,2,3,4,5,6,7,8,9,10,11,12
88,1.827586207,2.018867925,2.333333333,2.872213967,3.083469722,3.762619372,4.594627595,4.747292419,5.152284264,4.069686411,4.832891247,4.919093851
89,1.428571429,2.341880342,2.53372434,3.507531866,3.423971377,4.178082192,4.127886323,4.267643142,4.782258065,3.585,,4.292913386
91,1.676470588,2.519809826,3.393229167,5.680379747,5.913961039,5.249457701,6.066924067,,,,,
92,2.818181818,1.88592233,3.08411215,4.180156658,4.640435835,5.218201754,5.882352941,6.850170261,6.191076625,6.644422311,6.013428827,5.595628415
100,2.076271186,1.80104712,2.660883281,3.990791897,4.632098765,4.690283401,5.266666667,5.910227273,5.820766378,5.199335548,5.948441247,5.47503201
102,1,2.128654971,1.916666667,2.204225352,3.325443787,4.083857442,5.028169014,5.361370717,5.122149837,5.475382003,4.47311828,4.946428571
103,2.247933884,1.890946502,2.964476021,4.378132118,5.472346786,5.138242894,5.940705128,5.798418972,4.854294479,6.450359712,4.644230769,4.34368071
105,1.761904762,1.631268437,1.677350427,2.094249201,3.06169297,4.406199021,4.109090909,3.986486486,4.486935867,4.362385321,3.496,4.812603648
106,2.317073171,1.644970414,2,,3.500934579,3.838768116,2.876967096,3.631578947,3.769230769,4.136966127,4.004451039,3.739035088
107,1.889908257,1.855305466,2.065693431,2.839622642,2.993254637,2.858565737,4.797127469,5.715124816,4.717231222,5.750499002,5.185089974,6.104651163
108,1.9,1.804878049,2.119476268,3.063829787,3.979811575,3.812191104,4.997821351,4.388217523,4.574290484,5.026859504,5.001303781,4.117924528
109,4,1.333333333,2,2,2.39184953,2.715170279,3.952185792,4.557553957,4.758081335,5.924242424,4.041036717,6.087286528
110,1.743902439,1.803149606,2.471014493,4.198757764,,,,,,,,
119,1.714285714,2.173333333,1.910447761,3.012962963,3.12962963,4.034926471,4.870689655,3.996357013,4.726402189,4.693457944,3.56097561,4.404
123,2,1.833333333,1.926666667,2.17578125,3.933014354,4.592592593,,,,,,
124,2,1.75,2.136094675,,3.256198347,4.33974359,4.04048583,4.104046243,3.493150685,4.118226601,,4.800796813
125,1.428571429,1.924657534,2.774703557,3.43364486,4.249291785,5.388743455,5.856812933,5.266094421,5.349090909,9.193979933,5.170340681,4.863636364
126,2,,1.550458716,2.003649635,3.625615764,4.828282828,4.541015625,5.062962963,,,,
127,2.076923077,2.011695906,1.906633907,2.741127349,2.965317919,4.216438356,3.8811749,5.315024233,5.442771084,4.10966811,5.34375,3.980769231
