id,subject,session,subses,age_months,speaker,canon,form,gloss,relation,rm,position,preference,request,intent,repair,interact,report,pcg_utts,chi_utts,PtoC,mean_PtoC,sd_PtoC,sd1_include,sd2_include,low_PtoC,logPtoC,mean_logPtoC,sd_logPtoC,sd1_loginclude,sd2_loginclude,low_logPtoC,ses_gest
10290200710,29,2,292,17.94,CHI,canonical,pug,disinvest_2,rf,NA,1,NA,NA,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290300053,29,3,293,22,CHI,non-canonical,shrug+pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300055,29,3,293,22,CHI,canonical,pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300171,29,3,293,22,CHI,canonical,pug,disinvest_2,rf,NA,2,2,1,1,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300174,29,3,293,22,CHI,canonical,pug,disinvest_2,rf,NA,2,2,1,1,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300339,29,3,293,22,CHI,non-canonical,pug,disinvest_2,rf,NA,2,1,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300884,29,3,293,22,CHI,canonical,pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290300977,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,rf,lp,3,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301239,29,3,293,22,CHI,non-canonical,shrug,disinvest_0,rf,l,2,3,2,1,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301450,29,3,293,22,CHI,non-canonical,shrug,disinvest_0,rf,l,2,3,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
